"","Illumination","dayofyear","starttime","endtime","site","NestNumber","year","nest","Sunrise","Sunset","Illumination.sc","dayofyear.sc","starttime.sc","endtime.sc","starttime.sq","starttime.sqrt","starttime.log","starttime.sqrtsc","Sunrisetime.sc","Sunsettime.sc"
"1",70.6,138,29980,72372,"CA","CA187",2006,187,21360,72600,0.165602114605878,-1.3561195177626,3.90286242011096,-1.34807057625028,898800400,173.147336104255,10.3082857716566,3.6027965542079,0.989702241718624,0.839482735085394
"3",59.4,139,22618,73473,"CA","CA187",2006,187,21360,72660,-0.194359272054611,-1.2638477053213,1.03025285602841,-1.07806895114239,511573924,150.392818977503,10.0265013284313,1.04775556904137,0.989702241718624,0.841111470362544
"4",59.4,139,20851,73770,"CA","CA203",2006,203,21360,72660,-0.194359272054611,-1.2638477053213,0.340779737346817,-1.00523472529584,434764201,144.398753457223,9.94515718770752,0.374698743147138,0.989702241718624,0.841111470362544
"6",47.6,140,21799,73209,"CA","CA187",2006,187,21300,72660,-0.573604304429054,-1.17157589288,0.710683821393307,-1.1428104852282,475196401,147.644844136191,9.98961937616541,0.739193172105023,0.960603632313666,0.841111470362544
"7",47.6,140,20640,73889,"CA","CA203",2006,203,21300,72660,-0.573604304429054,-1.17157589288,0.25844876505377,-0.976051988340491,426009600,143.666279968544,9.9349862195955,0.292451347005991,0.960603632313666,0.841111470362544
"8",47.6,140,20160,73620,"CA","CA204",2006,204,21300,72660,-0.573604304429054,-1.17157589288,0.0711555579416228,-1.0420196878446,406425600,141.985914794391,9.9114557221853,0.103767848864007,0.960603632313666,0.841111470362544
"9",35.9,141,22391,71643,"CA","CA187",2006,187,21240,72720,-0.949635395851172,-1.0793040804387,0.941678776831622,-1.52684549423725,501356881,149.636225560524,10.0164143713913,0.962799813719452,0.931505022908708,0.842740205639693
"10",35.9,141,20532,79615,"CA","CA203",2006,203,21240,72720,-0.949635395851172,-1.0793040804387,0.216307793453537,0.428152648687499,421563024,143.289915904784,9.92973992368019,0.250190480607729,0.931505022908708,0.842740205639693
"11",35.9,141,20160,73020,"CA","CA204",2006,204,21240,72720,-0.949635395851172,-1.0793040804387,0.0711555579416228,-1.18915953803964,406425600,141.985914794391,9.9114557221853,0.103767848864007,0.931505022908708,0.842740205639693
"12",24.9,142,20937,73778,"CA","CA187",2006,187,21240,72780,-1.30316890060701,-0.987032267997398,0.37433643695441,-1.00327286062657,438357969,144.696233537712,9.94927320768526,0.408101948044177,0.931505022908708,0.844368940916842
"16",24.9,142,19980,73860,"CA","CA204",2006,204,21240,72780,-1.30316890060701,-0.987032267997398,0.000920605274567732,-0.983163747766585,399200400,141.350627872677,9.90248705220255,0.0324332600754476,0.931505022908708,0.844368940916842
"17",15.4,143,20499,74182,"CA","CA187",2006,187,21180,72840,-1.60849329107796,-0.894760455556098,0.203431385464576,-0.904198694828581,420209001,143.174718438696,9.92813138344889,0.237255279847332,0.902406413503749,0.845997676193991
"18",15.4,143,20460,73620,"CA","CA19",2006,19,21180,72840,-1.60849329107796,-0.894760455556098,0.188213812386715,-1.0420196878446,418611600,143.03845636751,9.92622703950562,0.22195479358932,0.902406413503749,0.845997676193991
"20",15.4,143,20280,73860,"CA","CA197",2006,197,21180,72840,-1.60849329107796,-0.894760455556098,0.117978859719659,-0.983163747766585,411278400,142.407864951343,9.91739045770512,0.151147449964981,0.902406413503749,0.845997676193991
"21",15.4,143,20520,73260,"CA","CA200",2006,200,21180,72840,-1.60849329107796,-0.894760455556098,0.211625463275733,-1.13030359796162,421070400,143.24803663576,9.9291552992847,0.245487974806845,0.902406413503749,0.845997676193991
"22",15.4,143,19740,73860,"CA","CA204",2006,204,21180,72840,-1.60849329107796,-0.894760455556098,-0.0927259982815057,-0.983163747766585,389667600,140.499110317468,9.89040231298747,-0.0631812608141288,0.902406413503749,0.845997676193991
"23",7.8,144,21379,74010,"CA","CA187",2006,187,21180,72840,-1.85275280345472,-0.802488643114798,0.546802265170179,-0.946378785217825,457061641,146.215594243569,9.97016441080041,0.578706705468488,0.902406413503749,0.845997676193991
"24",7.8,144,20760,73440,"CA","CA19",2006,19,21180,72840,-1.85275280345472,-0.802488643114798,0.305272066831806,-1.08616164290311,430977600,144.083309234623,9.94078333727983,0.339278395055878,0.902406413503749,0.845997676193991
"25",7.8,144,20280,73680,"CA","CA191",2006,191,21180,72840,-1.85275280345472,-0.802488643114798,0.117978859719659,-1.0273057028251,411278400,142.407864951343,9.91739045770512,0.151147449964981,0.902406413503749,0.845997676193991
"26",7.8,144,20220,73500,"CA","CA197",2006,197,21180,72840,-1.85275280345472,-0.802488643114798,0.0945672088306411,-1.07144765788361,408848400,142.197046382828,9.91442749257446,0.127475223479526,0.902406413503749,0.845997676193991
